,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022
'Quinte_and_District',159000,155800,163800,165700,164500,166700,167400,169200,173500,165900,169400,158800,165100,169100,172000,175700,174800,176600,180200,174400,174900,175400,174500,174700,176500,177800,181900,184200,189700,190300,197100,193800,194000,190400,189600,184900,192400,191500,193900,199000,200500,199500,198000,197600,196800,191200,193400,188400,189800,190300,189000,191900,195100,193200,198100,193700,197700,194200,195200,192100,185400,192600,196500,198400,202600,195600,196900,196000,198100,192300,197800,192200,190000,191900,198600,203100,201800,202100,203800,197000,196600,201200,200400,195700,199900,201200,201400,205800,207900,208400,204100,207100,205300,201700,201500,199300,200300,194300,203300,204700,207200,205000,204700,204000,204200,198700,200700,210300,200700,206700,203200,211700,210400,210500,210600,210700,211600,205200,212700,208100,211500,212000,212200,219300,219900,221100,217700,217400,219300,223000,218400,220500,214500,217500,225600,226700,227600,233800,236200,238400,241200,236100,244400,242400,251300,253100,264000,269700,279400,283700,281500,285400,283600,286900,284500,278200,294700,293900,302200,304700,311000,316000,311800,309100,315800,323200,314400,303000,312800,327400,324900,331900,334500,333200,337300,336500,342000,339400,344000,340800,350500,363100,359800,362000,373700,373100,395900,401100,411000,419700,437100,445900,468100,500900,514600,520100,534000,530600,543100,542500,558600,558800,574200,598300,636900,666500,674600,666700,644400,610100,579100,561900
'Rideau_St_Lawrence',180500,188300,181600,186200,186100,187600,191000,190600,189600,186700,188800,192600,192600,190900,192000,196400,193300,196300,196400,197900,197400,193900,196100,200000,195400,196100,198700,200500,207000,208600,206400,210400,213200,208400,207400,207600,207200,207300,212100,211400,215400,220100,221300,219200,219800,216900,215900,205700,216800,213000,214900,219300,225100,222600,222900,225900,227400,226500,224300,230200,221500,225700,221100,228300,231000,236600,237600,241900,233500,234000,235600,229600,224300,229400,235500,242600,238100,244400,241100,244500,238100,237200,235400,239000,245400,244200,245700,248500,248300,245000,248900,246500,244500,241100,228600,232700,240300,242000,243600,246800,250000,245600,248500,245900,255700,246800,246000,244100,235300,238800,241700,250400,250300,258400,264700,252900,248400,245200,244000,241700,244500,253600,251300,258500,260400,260500,260100,257900,257500,248400,254400,248400,252100,260600,251600,260500,266100,265300,264200,267800,272600,270200,273300,271200,271700,276300,278300,279600,285200,283300,280500,279100,282200,279800,281600,283800,278500,284200,287600,290800,298400,299300,300800,299300,303600,295400,297300,290200,297300,298100,307500,316100,323400,329700,325100,334000,334600,334500,336800,345500,347200,354600,354200,349700,365800,378700,390100,398300,409300,421500,431100,429000,444800,476000,524600,527100,541400,541800,534000,531400,529400,537000,545500,546700,576400,614000,627000,624800,613500,600500,596900,572900
'Sault_Ste_Marie',102600,103000,103400,103800,104200,104600,106700,108800,111000,109700,108500,107300,109600,112000,114400,116700,119000,121400,120400,119400,118500,119500,120600,121800,127800,134000,140400,137900,135700,133600,133100,132700,132300,129600,126900,124300,125800,126800,127700,130800,134500,138800,139600,140800,142800,138600,134500,130700,130700,130800,130700,133300,136200,139400,139500,139400,139600,140800,142100,143200,148000,149500,141700,146200,146300,149300,147000,146200,148800,148800,146400,144500,143700,142700,147300,149500,149700,157100,160500,157800,157500,154500,155100,152700,154200,159700,164800,166800,162400,157800,160500,162100,159900,159700,156200,160000,164000,165800,153900,160400,157700,159600,163600,160500,165200,166500,168700,166700,165700,152300,162400,164300,169700,172300,172500,171500,174300,172800,169100,167500,164600,161400,161200,168500,167200,171500,170300,171100,166400,172600,171300,166700,153800,157200,156500,164500,174300,173900,174400,175000,169300,165800,165600,159400,157300,150800,149900,148100,156200,159700,161200,166000,166700,167400,163800,158800,160900,164900,163700,156000,159400,163100,168100,169100,169800,170700,163500,161300,158500,155500,170500,168300,169300,165200,167000,172000,171600,174700,168100,165100,168900,163400,166100,167300,176500,179600,181800,187900,189100,191500,195200,195700,197700,195900,198000,213200,226100,236000,245900,248200,250500,251400,256200,256700,265900,273100,288100,303000,320700,313600,316500,302100
'Simcoe_and_District',160800,157100,161900,167500,167100,169200,167400,171100,169100,170600,164200,168500,165900,168900,172700,172000,178800,168400,185300,184800,186500,182500,181100,183300,183700,184200,189800,187600,192800,196100,196500,192400,194100,189800,194900,186500,196500,197800,200100,198900,202600,201000,202300,200700,199600,196300,201300,200000,194600,196800,190400,195700,190800,192600,192900,200400,199400,195000,196900,192800,202100,197200,200900,200100,204400,202000,202300,213400,207500,207200,201300,210600,200500,206700,207600,205700,200600,205500,205800,206600,207600,203800,205300,205000,200200,197000,206000,206600,210400,210600,208100,204900,211700,210800,205200,196400,206000,213600,209900,210600,208700,218000,206900,211000,213500,212700,218600,212000,211400,217000,213300,216200,216500,218800,219400,225200,215400,222400,220700,225900,216300,227000,222900,227600,230900,238000,234500,233000,238800,230200,238600,232700,233400,232600,260400,248300,254400,259900,262900,271900,272200,272900,278600,277700,271500,274900,294800,292100,323100,313400,303900,319700,307200,324200,321100,313000,310200,331100,327100,330500,343600,342800,344900,339700,350600,342800,338100,353300,344000,356600,362800,365700,372200,370500,377300,371900,371400,381700,382400,371600,376300,390800,398600,403200,402400,414600,418300,438000,433500,432900,448100,464300,465500,495300,522900,543600,547000,552000,555000,562500,585800,571100,581600,578400,639500,662300,689900,668300,674600,635800,598800,576200
'Sudbury',131000,131800,129500,135600,137700,139200,138900,139300,140400,139200,142100,140300,141200,145200,146300,152800,154000,151700,160300,159900,161900,160700,161500,163900,165400,168000,178600,182600,193600,194300,196400,195300,195500,197600,200100,204000,205000,213800,219900,223500,229300,228800,223600,223500,222200,213700,204600,206000,201200,197300,185900,193000,203000,204100,201800,198200,202500,204700,200100,208900,204700,207600,206500,210900,216200,216000,218900,214700,215700,216800,215600,214800,208200,214300,218100,221900,226700,221000,230600,225200,227000,228000,226000,229800,223900,230700,233000,234400,235600,238400,237700,236100,239600,241600,238900,232400,237000,242800,240900,241400,246800,246600,243800,244700,234800,233000,236200,229100,239600,232900,231100,240300,242100,242200,237200,241800,236200,233300,228800,226500,224300,232100,229000,236000,238500,240200,241300,241700,242700,235900,236300,238300,238100,243500,240500,241200,244200,246600,247000,243000,236400,237100,235800,234100,237400,246500,238800,243200,245800,249300,248200,246800,248800,249700,241800,239500,239800,249000,243900,255300,262300,260800,266000,261500,258700,261600,259400,257400,261300,255100,248500,262300,268600,274200,275500,271700,272200,275200,275600,280500,273900,280700,290900,295100,291600,298400,307000,312300,317900,320000,325600,322200,337800,355500,362000,377400,376800,375300,370500,380500,386000,403200,406800,414100,441800,464900,479800,465600,470500,453900,452500,428700
'Tillsonburg_District',136800,137700,138700,139600,140500,141500,141700,141900,142100,143500,144800,146300,145400,144600,143800,146800,149900,153100,153600,154200,154700,154500,154400,154300,155800,157400,159100,159600,160100,160700,160300,160000,159700,159600,159600,159500,160000,160700,161300,163800,166400,168900,169400,169400,169700,166000,162500,159000,159100,159200,159300,160800,162300,163900,163100,162400,161800,162400,163200,163900,166400,168100,169300,168300,165300,167400,166200,164600,165100,168200,165700,162000,159900,156600,162800,168000,167300,173100,170800,173200,172500,170300,169300,168200,169600,170400,170900,176600,175100,179200,178100,177100,177100,175600,178000,179900,182100,181700,178300,179000,183500,182300,181400,180200,184100,181700,179400,180500,185100,187300,187900,184900,183600,188200,187700,189800,190600,191300,190300,189100,189600,193500,197300,198400,200300,195900,194400,196900,196200,194000,193600,194500,192900,196100,202500,205100,209400,213300,212600,215900,212700,212100,215000,213700,217200,218600,227200,235400,239100,246200,248000,248500,249200,248800,251300,257400,259200,272800,274300,283100,287500,285500,290200,290600,297200,300400,303100,304000,310300,309800,315100,323100,324300,332600,330500,333000,331700,327100,328900,336500,340000,341200,348500,351400,355200,364400,384000,390500,400400,412800,423100,441900,466000,490800,516200,544000,548100,557900,552800,558900,568100,570500,571800,590900,602100,630600,653800,665500,671800,658800,648600,625300
'Greater_Toronto',363100,377600,360900,374200,381100,382900,379000,379800,382400,384700,388500,384000,390200,392700,398500,403300,404400,404300,401300,400800,403200,402300,402000,399100,401500,410500,415400,420300,423800,427100,427100,429300,432400,434700,434900,433700,437600,440800,440900,442700,441400,439400,434100,431500,429500,423800,417600,408100,404100,402200,405000,410600,418400,426300,432100,438800,445800,452000,456300,457600,463800,473000,477000,478600,477700,475400,471100,471900,472400,473200,474600,473300,480800,489500,496500,503300,508700,512500,513000,515300,517900,519700,522900,525000,531800,541500,550000,557900,561500,560500,558500,555100,556400,554600,551200,554100,554100,564400,571200,577900,581000,581600,582400,583300,585800,589400,591100,592300,600400,612600,619100,625900,630100,632400,632200,633200,637400,639800,641400,643100,650700,665400,678000,688700,695200,701100,704300,707600,712600,714700,716000,719700,735300,755000,774600,799200,820000,834300,842800,853400,867300,877800,881900,890300,921100,979300,1036100,1048000,1024300,988000,950000,924800,918700,913600,906900,899900,901700,906900,914700,919700,917800,914400,908700,902800,905500,907000,900100,890300,891800,900100,911600,917300,920000,919200,918800,917400,922600,929100,930300,931800,947200,973500,990100,971400,980500,991600,1009200,1026500,1033700,1036800,1048100,1063900,1114100,1168400,1200000,1209700,1214700,1218500,1224100,1235900,1277700,1337200,1386900,1432500,1523800,1603800,1600900,1554400,1495300,1423900,1361100,1321600
'Windsor_Essex',195900,197400,198900,200400,202000,203500,203400,203400,203300,202400,201500,200700,201300,202000,202800,201400,200100,198900,200600,202300,204100,202500,200900,199400,196400,193600,190800,193800,196900,200200,201400,202800,204100,199900,195800,191800,190700,189600,188500,192700,196300,199800,197600,195700,193700,192400,189600,187200,186100,185100,184000,185000,185200,185600,185500,185600,186100,187400,188200,189000,187700,190700,184100,183900,182800,189400,187100,189300,187700,189600,182700,184300,188800,186600,187300,193500,187700,187400,186700,195800,198500,195800,191900,192200,189400,185100,180800,193300,197900,196600,202800,198800,199100,197900,197200,197600,188800,193000,194900,200500,192500,196300,196800,202000,201600,202000,199600,205200,195500,197200,196400,199000,202500,198600,199200,204200,210000,207200,213400,208800,211500,202800,204700,209200,206900,211500,211200,217800,216600,221900,224700,225700,230500,217800,224900,230500,231300,241100,242900,253700,254300,250100,251800,253800,263600,262300,256300,262400,272300,286600,298500,289500,294400,289500,295400,290500,290300,296700,331500,322000,322000,316200,325800,329400,340300,343900,351300,344200,346900,348300,362800,369000,378100,383900,385900,384600,388600,391600,389600,382500,383100,383600,402900,414100,413700,421100,420100,432200,444500,453300,459000,467400,473000,477400,493500,516600,548900,583300,619100,612000,606100,605400,611400,616100,625400,634000,659000,716300,753200,751900,730100,701500
'Woodstock_Ingersoll',169000,170900,172800,174800,176800,178800,181900,185000,188200,188900,189600,190300,192800,195400,198000,199300,200600,201900,201100,200200,199400,199500,199700,199800,201600,203300,205100,205700,206300,206900,207100,207400,207600,208400,209200,210000,211100,212200,213600,212400,211600,210800,212200,214100,215600,212200,208600,205100,202800,200800,198800,200700,202100,203900,204400,205500,206300,205700,205200,204600,202600,208100,205500,211200,213400,214200,214500,213200,215300,210700,214400,211200,212000,215400,216400,218900,220500,219500,220200,219300,217000,215800,213000,215400,221100,223600,224000,225400,228400,232200,233200,230900,226200,225300,225500,230200,224300,229800,234500,232700,231400,235600,235200,233800,235000,234400,235800,234700,229600,231000,233000,238300,241600,241800,244100,244900,244400,247200,245100,239100,239700,242500,245700,247100,252100,252900,256500,255200,257400,258300,261600,261500,265200,266700,273700,277200,280400,284100,285700,286600,290300,294600,297800,301300,302700,314400,331200,345200,360000,369100,361000,357000,350900,353000,355600,363500,363100,370200,375300,379500,380000,385800,389700,389000,393400,399100,397700,404100,400600,407500,401900,410800,413800,421100,420200,428500,428400,422600,426200,430600,437600,444400,450400,454300,456400,470600,483400,497900,512000,528700,535800,553600,562100,596100,645900,678400,690600,686400,674200,661600,679800,698600,714600,728600,767400,829200,861400,857600,814600,762700,730300,698600
'Quebec',189500,191300,193100,194300,192600,192800,193300,193500,194500,196000,195700,195700,197600,200700,200900,202600,202200,202400,202000,202800,203700,204300,205700,205800,209500,212400,214600,215000,217300,217100,218700,219000,220700,222600,223600,224700,227700,230600,232300,233400,233600,234400,234000,235400,236000,234800,234000,232200,235800,237700,237600,238400,240600,240100,241500,242700,244600,246800,249800,248000,253900,256700,259500,259700,262800,263000,264300,263100,264000,265700,267800,268400,272100,275900,277900,276400,277400,275900,275300,278200,279500,279700,279600,280400,286500,289100,289800,290600,290200,289500,289800,290700,289500,288000,286900,287900,292000,294500,295600,294700,294200,294500,293900,294100,292900,292400,291600,290900,293700,297300,296800,298100,296600,296500,293800,294800,295100,295300,295900,294300,295600,300100,303500,302100,303000,303200,299200,298400,301200,302500,301700,301300,304600,308000,309700,311700,310900,312000,311900,311900,313600,314800,315300,316200,321700,322700,327900,329000,330400,330800,332000,334700,334000,338100,336500,337000,340400,346900,347400,349100,349700,349600,352400,354000,355500,357200,355700,353400,360700,363800,365000,368000,368800,372500,374200,372500,377900,381300,379800,376400,390700,398000,402500,399600,397700,404300,416400,425500,429800,437400,444300,445800,458200,474500,501200,514100,519100,525800,521800,523700,523300,530900,535600,542400,575100,584700,595200,600800,604900,594000,574600,565000
'Montreal_CMA',200200,202100,203900,205500,203200,203400,203700,203900,204900,206300,206300,205800,207800,211300,211400,213200,212600,212500,212100,213000,214100,214600,216200,216200,220200,223100,224800,225200,227800,227600,229200,229300,231100,233200,233900,235300,238100,241000,242500,243500,243700,244300,243800,245200,245600,244800,243500,241300,245300,246800,246800,247900,249600,249300,250900,252100,253900,256000,258700,256300,262600,265300,268200,267800,271100,271200,273500,271300,272700,273700,276100,276700,280200,284700,286800,284700,285900,284300,284000,287000,288000,288700,287600,288700,295800,297700,298800,299500,298500,298700,298100,299800,298400,296500,295200,295600,300200,302500,303900,303000,302300,302200,301800,302400,300800,300700,299400,298500,301800,305100,304900,306400,304600,304700,301800,303100,303100,303600,304300,302200,303800,308500,312300,310000,311400,311800,308000,307500,310200,311600,310800,310100,314200,317300,318700,321200,320600,322100,322200,322300,324300,326300,327400,328100,334100,334600,340400,341400,343100,343900,345300,348800,348100,352400,350900,351300,354800,362300,362700,364700,365300,365400,368900,371400,373000,373800,372800,370000,378700,381400,383200,386400,387500,391600,394900,393600,397900,402600,401100,398100,413000,422200,428000,425500,423700,430500,444000,455500,459700,468500,475800,477300,490800,509100,540300,554000,562400,567700,564500,566800,565400,574000,579300,587600,623300,633100,643600,651300,654500,643000,622100,612300
'Quebec_CMA',132500,134200,135700,135200,136300,136700,137700,138800,139100,141300,139400,141700,143100,144700,145500,146100,147200,148700,148700,148900,148300,149900,150000,150600,153000,155900,160500,161000,161800,161900,163500,164300,165600,166600,168900,168400,172700,175100,177500,179100,179700,181500,181700,183100,185100,181800,184200,184100,186300,190300,190100,189500,193400,192100,192200,193200,195900,199000,203500,204600,209100,211100,213600,216700,218400,219300,215200,219200,217700,223200,223300,223800,229200,229300,231000,231900,231600,230300,228400,230200,233100,231100,236000,234900,235900,241800,240400,241600,244700,239100,244000,240900,240600,241300,241700,245500,247000,251500,250900,250300,250900,253300,252200,250200,250500,247900,250100,250700,250500,255900,254100,254000,254200,253200,251400,250600,252500,251200,251500,253000,252100,255800,256900,260600,258200,257700,252000,249500,252300,253300,252500,253700,252500,257100,260800,260400,257900,256600,255600,255200,254900,251900,249300,251200,254000,257900,259700,261000,260700,258700,258400,256700,255900,258600,256200,257200,260500,261600,261900,262200,263300,262300,261300,257800,258900,265900,261900,262900,263200,268800,267000,269600,268700,271400,264600,261700,273000,270100,268500,263700,275800,274400,274200,271200,270900,277400,282900,281000,286200,289100,294900,296600,305000,313400,320100,330300,320500,333500,326500,327300,331200,334900,337600,337400,358200,368200,379900,377400,387500,379100,366300,358600
'New_Brunswick',122200,122900,123700,124400,125200,126000,126300,126600,126900,126900,126800,126800,126700,126700,126700,128400,130200,132000,131900,131800,131700,131700,131800,131900,133400,135000,136700,137000,137200,137600,138300,139100,139900,140300,140800,141300,141900,142600,143400,144700,146200,147600,149400,151200,153000,151500,150300,149200,148500,147800,147200,148600,150400,151900,153400,154700,156500,155900,155300,154800,152000,155000,154900,155700,157500,158400,160000,160600,160000,158300,157800,155800,156300,155500,156800,159300,160300,162600,161700,162500,162900,160800,158900,157200,155700,156000,154200,157300,159800,160800,162200,162400,160600,159700,156200,155400,154800,154400,152400,156000,157800,158800,159800,161000,160900,160800,158000,156000,155600,156400,155700,157100,160300,162300,165100,162100,160900,158100,157800,156400,155600,150700,152400,153400,155900,157800,160900,161900,160200,157200,155100,153700,150900,147900,147500,150700,154500,157200,159500,157900,159300,158100,156100,154000,152200,152800,152600,155000,157700,161200,163000,164000,162500,161200,160000,160800,158300,158000,160000,162600,164400,167100,165900,165000,163900,164700,166200,164700,163600,162600,164000,167600,169600,170500,171700,172500,173200,173400,172300,170900,171000,173900,176200,178100,180200,181300,184700,188300,191400,193300,194800,197600,199300,207300,214100,223200,229800,231400,235800,238900,242100,246000,249100,252200,256800,271300,281800,290900,297800,299900,298400,288100
'Fredericton',121100,121400,121800,122200,122600,123000,123500,124100,124700,124600,124500,124500,125200,125900,126700,129500,132400,135300,134000,132700,131400,130700,130000,129200,130800,132400,134000,134700,135400,136200,135600,135100,134600,135200,135900,136600,138100,139800,142000,143600,144600,146100,145400,144300,143400,142900,142800,143100,142700,141700,141100,142600,144900,147600,148100,148400,148700,149200,150200,151200,156500,152700,154500,153700,157200,159300,159200,157600,156800,158900,162000,159800,159500,161000,157700,161900,162100,164200,163700,164800,162900,164100,167300,166300,166600,168500,165800,167700,168300,170200,173600,172500,171400,168500,170200,170200,168200,169500,167200,169200,165700,166600,167400,172900,172600,173200,169000,167500,167800,167000,167600,169000,170300,171100,172100,170000,167800,167100,167000,160900,165300,164400,164700,165600,167600,166200,170600,170600,168400,167100,166200,165700,164500,162500,165800,165500,169700,173400,175400,174700,175000,172300,170900,171000,174100,170000,169900,170000,172500,175800,177800,178200,178500,178100,177100,177200,172600,170300,170400,173200,175200,180100,181100,180900,180600,179000,181900,178100,177300,178000,179300,185000,185900,186300,186100,185200,186300,186000,186500,183900,184800,190700,190800,192300,194300,197200,200500,201400,204500,205100,207700,211100,211900,216800,223700,235600,241700,245600,245200,246700,247300,250300,254600,255200,254500,264800,283300,293500,297300,305000,306800,297800
'Greater_Moncton',137500,138300,139100,140000,140800,141600,141300,140900,140600,139500,138400,137400,138300,139200,140200,141600,143000,144500,145100,145800,146500,145900,145300,144700,146400,148100,149900,149400,148900,148400,148600,148800,149100,149700,150300,151100,150700,150500,150400,150300,150200,150100,151000,152100,153200,153100,153100,153200,153600,154000,154800,154000,153400,153000,155000,157000,159200,158200,157400,156700,157000,159400,160000,162500,163100,163600,164800,164900,165100,163800,162500,162200,162300,160400,162700,164700,164600,167600,169900,170300,170500,166600,165000,165800,165100,164600,161900,164100,169200,170600,172400,172700,170700,170700,166800,166400,165700,164300,161600,166300,170200,171300,169300,169800,169500,170300,169900,167800,166700,170100,167900,170400,173000,175700,175800,172900,172700,170200,168500,167700,165300,157800,162900,163000,166000,169700,170300,172800,170200,164800,162200,160800,159300,155700,154000,154300,157100,157100,160200,160500,161400,160200,158800,158800,152400,156000,153700,157800,159200,162000,162700,162900,161600,161100,162700,164100,159900,160800,165100,168500,168700,170700,172700,172400,170200,169900,169500,169500,169200,168600,171300,172100,174200,175800,176800,179900,181300,181300,179800,178600,179700,183500,186400,188400,192400,193300,196800,201400,207300,210200,210900,213500,217100,231100,237000,246000,253400,256800,264900,267500,271300,275200,277500,284900,295500,318400,326600,333000,343900,338600,340300,329100
'Saint_John_NB',118700,119700,120600,121500,122500,123400,123900,124300,124800,126100,127300,128600,127300,126000,124800,126900,129100,131300,130200,129200,128200,129500,130800,132100,134100,136200,138300,138700,139200,139700,141500,143400,145300,145800,146300,146800,148400,150100,151500,153700,156200,158800,162700,166900,170800,168400,166100,164000,161700,159900,157900,161800,166000,169700,170700,172000,173800,173400,172700,172400,163100,169100,168900,169700,171200,171800,174800,178900,178200,173000,171700,168200,169800,168700,172900,174800,176200,176900,174300,176400,177900,174200,170700,166000,162400,162800,162300,168000,170600,171300,172300,173200,169300,168700,163100,162100,161400,160600,160700,163100,166300,167700,171900,171800,171200,169400,164500,163900,162900,165100,165600,164900,165300,166900,174200,170600,168700,165100,165400,165600,163400,160000,160200,164200,164100,164900,169000,169500,169600,168400,166500,165100,159200,153800,154900,164700,165400,170800,172000,170500,174500,176800,171700,165200,165700,170600,173900,171300,173900,180200,183100,182900,182200,178800,174100,177200,177300,176400,175700,179700,181200,182400,176000,173700,173700,176700,179000,178900,177400,178000,175000,178900,179700,181800,183500,184600,184100,184300,180700,180100,181200,184100,188300,189100,188200,187900,192800,198300,196800,198900,201500,204700,205300,208500,214500,225000,230600,230000,233600,238100,242600,248100,254000,252900,255100,269600,277100,289000,295600,299400,293400,279400
'Nova_Scotia',139400,138400,139900,141500,144000,144400,146300,148100,145200,146500,145400,145000,143900,146300,149600,149800,150900,153600,155500,152900,150900,153900,151600,154500,155100,153500,155400,157000,160500,161800,161800,165000,165200,163200,161700,161200,163700,165600,165400,168300,170200,170700,173600,174000,174600,172600,171000,169900,166100,164600,167200,169700,170700,175600,176600,178100,178700,177500,176100,179000,177000,177400,175000,180400,183500,187200,186600,185400,188700,186400,188500,184600,186000,182900,190500,192000,193700,195300,197300,195200,194200,195000,194200,193800,195800,193100,196400,198200,202100,204700,205800,207100,203300,202700,201400,200500,197100,195400,199800,199800,200500,206200,206700,204600,201900,201100,197500,197400,199700,193100,195400,191400,198500,202600,200900,204000,202200,201400,198800,193300,192000,189400,193100,197800,197600,198400,201900,203000,201400,198700,196900,192800,195000,190600,186400,189000,195400,201800,200300,199300,201100,199300,196000,199600,198400,191300,193000,195500,200000,203300,207100,205500,205500,203800,206700,202100,201800,201600,204100,206800,210400,212000,215900,218400,217000,218400,215400,212300,213500,209200,214700,216800,224000,226700,226800,232200,229900,230000,230700,232200,225700,227700,236300,239500,243100,243500,247600,252900,260200,264300,263600,265500,269100,270700,281900,298200,312600,323600,327900,330900,331600,336500,340100,342800,350100,352100,388500,403500,410300,410900,403800,388400
'Halifax_Dartmouth',174800,173600,175400,177000,180100,180800,183200,185100,180700,182500,181200,180900,178900,184000,188400,188800,189800,193100,195500,191200,187900,192000,189300,194100,193400,191700,193400,195400,200800,202300,201700,206200,205800,204100,202600,201800,205600,208800,208800,212100,214300,214500,217800,218100,218400,216700,215000,215300,210100,208900,212600,215000,215500,221900,222500,224800,224700,224700,222400,228300,225600,226200,223000,230500,234400,237900,237300,236300,240800,237000,241500,236600,240300,235000,244900,246800,248100,250300,251700,249900,248700,250200,249600,250600,253700,249500,253400,256200,260700,263100,265100,266300,260700,262000,259900,259700,256800,252200,261200,261000,260300,269000,267200,264300,260300,260900,257100,258200,262200,252800,257500,249600,260100,265700,262400,265800,263600,262400,258000,252600,252400,249700,255200,260200,259600,261800,267000,268400,266300,264600,261100,256700,259200,254800,251800,254400,263800,270700,268400,266600,269800,267000,263800,270900,267600,259600,263600,267800,273100,275400,278200,276100,276400,272800,278900,273100,273200,272700,276200,281100,285100,287100,292100,292900,289500,293200,291300,287500,290100,285400,293200,294200,301300,305200,304900,311500,307700,308200,310500,311700,304000,307300,320600,322800,327800,326800,332600,338800,348700,354600,353200,355700,363400,365600,381900,403900,420600,435200,440700,444200,443500,453100,457500,462100,475900,476600,534400,554200,558500,556300,543100,520100
'Prince_Edward_Island',117300,118900,120500,122200,124000,125800,125700,125600,125500,125600,125600,125700,126000,126300,126700,127400,128300,129100,128900,128700,128500,128400,128300,128200,128900,129600,130400,130700,131000,131400,133400,135400,137500,139000,140500,142000,141500,140700,139900,140900,142400,143700,143700,143600,143800,143900,143700,143600,140800,138500,136400,139800,143400,147700,148800,150100,151300,148700,146000,143400,139600,138600,146700,151200,152800,152500,152600,152900,152000,150900,152700,149900,152300,148500,143600,151000,154400,155300,158100,158600,160600,157100,153600,151800,149900,151000,150700,152100,160300,157600,157200,154000,153000,154900,154800,151200,147200,144900,147200,151800,156400,157000,160300,159400,157400,153000,150400,149400,154900,146600,147800,148100,157400,158600,156700,155100,156300,157900,157500,155500,160800,159500,159700,159700,164400,165100,166200,161300,163200,161100,164300,162800,163200,159200,164500,164000,167300,171800,174300,176400,178600,177100,176400,170400,168700,167200,174700,175000,176900,183300,183600,186600,186200,194100,193900,192200,190700,188500,191700,190600,200900,199200,206400,208100,213500,213000,212000,209500,211900,211700,211000,217700,218900,222800,224400,223700,223400,225600,225400,227700,230600,229100,226100,229400,225900,239200,244300,249000,251100,258100,260800,264800,266100,270900,270600,281400,295200,304300,316300,318500,322200,325200,326300,333500,331200,329600,337500,338100,350300,367200,374100,372700
